"Name","Team","Position","GP","MIN","PTS","FGM","FGA","FG%","3PM","3PA","3P%","FTM","FTA","FT%","REB","AST","STL","BLK","TO","DD2","TD3","PER"
"Rudy Gobert","UTAH","C","11","34.8","13.2","5.0","7.6","65.5","0.0","0.0","0.0","3.2","5.3","60.3","10.7","1.0","0.9","2.3","1.9","7","0","19.47"
"Marco Belinelli","PHI","SG","10","27.3","12.9","4.3","10.6","40.6","1.6","4.6","34.8","2.7","3.1","87.1","2.1","2.0","0.7","0.0","0.4","0","0","12.82"
"Clint Capela","HOU","C","17","30.6","12.7","5.6","8.5","66.0","0.0","0.0","0.0","1.5","3.2","47.3","11.6","1.3","0.8","2.1","0.9","7","0","24.10"
"Marcus Morris Sr.","BOS","SF","19","29.6","12.4","4.3","11.7","36.8","1.6","3.8","41.7","2.2","3.1","71.2","5.4","1.1","0.4","0.3","1.0","2","0","9.37"
"E'Twaun Moore","NO","SG","9","31.6","11.3","4.6","9.8","46.6","1.0","2.8","36.0","1.2","1.8","68.8","2.6","1.7","0.7","0.1","1.2","0","0","8.78"
"Draymond Green","GS","PF","21","39.0","10.8","4.0","9.1","43.2","1.0","3.8","26.6","1.9","2.3","79.6","10.6","8.1","2.0","1.5","3.0","11","1","16.29"
"Jae Crowder","UTAH","SF","11","29.4","10.0","3.2","9.8","32.4","2.0","6.0","33.3","1.6","2.5","64.3","5.1","1.7","1.4","0.2","1.3","1","0","8.46"
"Marcus Smart","BOS","PG","15","29.9","9.8","3.2","9.5","33.6","1.0","4.5","22.1","2.4","3.3","73.5","3.7","5.3","1.7","0.7","2.4","0","0","11.70"
"Derrick Favors","UTAH","C","11","26.0","9.3","3.8","6.2","61.8","0.2","0.5","40.0","1.5","3.0","48.5","5.2","1.2","0.7","1.0","0.9","1","0","16.40"
"George Hill","CLE","PG","19","29.3","9.2","3.1","6.9","45.0","0.8","2.7","31.4","2.2","2.8","77.4","2.2","2.2","0.5","0.4","1.2","0","0","10.53"
"P.J. Tucker","HOU","PF","17","33.5","8.9","3.1","6.4","48.1","2.1","4.4","46.7","0.7","1.1","66.7","6.5","1.3","0.6","0.8","0.8","1","0","11.80"
"Trevor Ariza","HOU","SF","17","34.2","8.8","2.9","8.2","36.0","1.5","5.4","28.6","1.4","1.8","74.2","3.8","1.3","1.1","0.1","0.6","0","0","7.57"
"JR Smith","CLE","G","22","32.1","8.7","3.0","8.5","34.8","2.0","5.5","36.7","0.8","1.0","77.3","2.7","1.1","1.0","0.2","0.9","0","0","6.76"
"Kyle Korver","CLE","SG","22","23.0","8.3","2.7","6.4","41.8","2.0","5.0","41.3","0.9","1.0","86.4","2.4","0.9","0.4","0.4","0.6","0","0","11.41"
"Andre Iguodala","GS","SG","15","26.7","8.1","2.8","5.7","49.4","0.9","2.5","37.8","1.6","2.3","70.6","4.5","2.7","1.4","0.5","0.9","0","0","14.74"
"Jeff Green","CLE","PF","22","23.8","7.7","2.6","6.5","40.8","1.0","3.2","30.0","1.5","2.1","71.7","2.4","1.5","0.3","0.7","0.8","0","0","10.32"
"Shaun Livingston","GS","G","21","17.2","6.7","2.8","5.2","53.6","0.0","0.0","0.0","1.0","1.2","88.0","2.2","1.5","0.3","0.0","0.8","0","0","12.62"
"Gerald Green","HOU","SG","17","16.0","6.3","2.2","5.5","39.4","1.6","4.2","37.5","0.4","0.4","85.7","2.9","0.1","0.2","0.4","0.6","1","0","10.09"
"Tristan Thompson","CLE","C","19","21.9","6.2","2.6","4.4","59.0","0.0","0.1","0.0","1.1","1.4","74.1","5.9","0.6","0.1","0.4","0.6","3","0","15.08"
"Aron Baynes","BOS","C","19","20.5","6.0","2.4","4.7","50.6","0.6","1.2","47.8","0.7","0.9","72.2","6.2","1.0","0.2","0.6","0.4","0","0","15.66"
